Raw Name                                           Friendly Name
CT_DUCK                                            Chinatown Duck
CT_DUCK_N                                          Chinatown Duck (Night)
CT_FIRE_01                                         Chinatown Fire #1
CT_FIRE_01_N                                       Chinatown Fire #1 (Night)
CT_FIRE_02                                         Chinatown Fire #2
CT_FIRE_02_N                                       Chinatown Fire #2 (Night)
CT_FIRE_03                                         Chinatown Fire #3
CT_FIRE_03_N                                       Chinatown Fire #3 (Night)
CT_FOOD_BRICK                                      Chinatown Food Shop Brick
CT_FOOD_BRICK_N                                    Chinatown Food Shop Brick (Night)
CT_FOOD_DOOR_01                                    Chinatown Food Shop Door #1
CT_FOOD_DOOR_01_N                                  Chinatown Food Shop Door #1 (Night)
CT_FOOD_WIN_01                                     Chinatown Food Shop Window #1
CT_FOOD_WIN_01_N                                   Chinatown Food Shop Window #1 (Night)
CT_HOUSE02_BRICK                                   Chinatown House 2 Brick
CT_HOUSE02_BRICK_N                                 Chinatown House 2 Brick (Night)
CT_HOUSE02_DOOR_01                                 Chinatown House 2 Door #1
CT_HOUSE02_DOOR_01_N                               Chinatown House 2 Door #1 (Night)
CT_HOUSE02_WIN_01                                  Chinatown House 2 Window #1
CT_HOUSE02_WIN_01_N                                Chinatown House 2 Window #1 (Night)
CT_HOUSE02_WIN_02                                  Chinatown House 2 Window #2
CT_HOUSE02_WIN_02_N                                Chinatown House 2 Window #2 (Night)
CT_HOUSE03_BRICK                                   Chinatown House 3 Brick
CT_HOUSE03_BRICK_N                                 Chinatown House 3 Brick (Night)
CT_HOUSE03_DOOR_01                                 Chinatown House 3 Door #1
CT_HOUSE03_DOOR_01_N                               Chinatown House 3 Door #1 (Night)
CT_HOUSE03_WIN_01                                  Chinatown House 3 Window #1
CT_HOUSE03_WIN_01_N                                Chinatown House 3 Window #1 (Night)
CT_HOUSE03_WIN_02                                  Chinatown House 3 Window #2
CT_HOUSE03_WIN_02_N                                Chinatown House 3 Window #2 (Night)
CT_HOUSE_BRICK                                     Chinatown House Brick
CT_HOUSE_BRICK_N                                   Chinatown House Brick (Night)
CT_HOUSE_DOOR_01                                   Chinatown House Door #1
CT_HOUSE_DOOR_01_N                                 Chinatown House Door #1 (Night)
CT_HOUSE_TRIM                                      Chinatown House Trim
CT_HOUSE_TRIM_N                                    Chinatown House Trim (Night)
CT_HOUSE_WIN_01                                    Chinatown House Window #1
CT_HOUSE_WIN_01_N                                  Chinatown House Window #1 (Night)
CT_LIQR_BRICK                                      Chinatown Liquor Store Brick
CT_LIQR_BRICK_N                                    Chinatown Liquor Store Brick (Night)
CT_LIQR_DOOR_01                                    Chinatown Liquor Store Door #1
CT_LIQR_DOOR_01_N                                  Chinatown Liquor Store Door #1 (Night)
CT_LIQR_SIGN                                       Chinatown Liquor Store Sign
CT_LIQR_SIGN_N                                     Chinatown Liquor Store Sign (Night)
CT_LIQR_WIN_01                                     Chinatown Liquor Store Window #1
CT_LIQR_WIN_01_N                                   Chinatown Liquor Store Window #1 (Night)
CT_MOTEL_BRICK                                     Chinatown Motel Brick
CT_MOTEL_BRICK_N                                   Chinatown Motel Brick (Night)
CT_MOTEL_DOOR_01                                   Chinatown Motel Door #1
CT_MOTEL_DOOR_01_N                                 Chinatown Motel Door #1 (Night)
CT_MOTEL_SIGN                                      Chinatown Motel Sign
CT_MOTEL_SIGN_N                                    Chinatown Motel Sign (Night)
CT_MOTEL_WIN_01                                    Chinatown Motel Window #1
CT_MOTEL_WIN_01_N                                  Chinatown Motel Window #1 (Night)
CT_MOTEL_WIN_02                                    Chinatown Motel Window #2
CT_MOTEL_WIN_02_N                                  Chinatown Motel Window #2 (Night)
CT_NEON_01                                         Chinatown Neon #1
CT_NEON_01_N                                       Chinatown Neon #1 (Night)
CT_NEON_02                                         Chinatown Neon #2
CT_NEON_02_N                                       Chinatown Neon #2 (Night)
CT_NEON_03                                         Chinatown Neon #3
CT_NEON_03_N                                       Chinatown Neon #3 (Night)
CT_O_BRICK                                         Chinatown Office Brick
CT_O_BRICK_N                                       Chinatown Office Brick (Night)
CT_O_DOOR_01                                       Chinatown Office Door #1
CT_O_DOOR_01_N                                     Chinatown Office Door #1 (Night)
CT_O_DOOR_02                                       Chinatown Office Door #2
CT_O_DOOR_02_N                                     Chinatown Office Door #2 (Night)
CT_O_DOOR_03                                       Chinatown Office Door #3
CT_O_DOOR_03_N                                     Chinatown Office Door #3 (Night)
CT_O_INDENT                                        Chinatown Office Indent
CT_O_INDENT_N                                      Chinatown Office Indent (Night)
CT_O_WIN03                                         Chinatown Office Win03
CT_O_WIN03_N                                       Chinatown Office Win03 (Night)
CT_O_WIN_01                                        Chinatown Office Window #1
CT_O_WIN_01_N                                      Chinatown Office Window #1 (Night)
CT_O_WIN_02                                        Chinatown Office Window #2
CT_O_WIN_02_N                                      Chinatown Office Window #2 (Night)
CT_O_WIN_04                                        Chinatown Office Window #4
CT_O_WIN_04_N                                      Chinatown Office Window #4 (Night)
CT_R_BRICK                                         Chinatown Residential Brick
CT_R_BRICK_N                                       Chinatown Residential Brick (Night)
CT_R_DOOR_01                                       Chinatown Residential Door #1
CT_R_DOOR_01_N                                     Chinatown Residential Door #1 (Night)
CT_R_WIN_01                                        Chinatown Residential Window #1
CT_R_WIN_01_N                                      Chinatown Residential Window #1 (Night)
CT_R_WIN_02                                        Chinatown Residential Window #2
CT_R_WIN_02_N                                      Chinatown Residential Window #2 (Night)
CT_R_WIN_03                                        Chinatown Residential Window #3
CT_R_WIN_03_N                                      Chinatown Residential Window #3 (Night)
CT_R_WIN_04                                        Chinatown Residential Window #4
CT_R_WIN_04_N                                      Chinatown Residential Window #4 (Night)
CT_SHOP07_DOOR_01                                  Chinatown Shop 7 Door #1
CT_SHOP07_DOOR_01_N                                Chinatown Shop 7 Door #1 (Night)
CT_SHOP07_WIN_01                                   Chinatown Shop 7 Window #1
CT_SHOP07_WIN_01_N                                 Chinatown Shop 7 Window #1 (Night)
CT_SHOP07_WIN_02                                   Chinatown Shop 7 Window #2
CT_SHOP07_WIN_02_N                                 Chinatown Shop 7 Window #2 (Night)
CT_SHOP_BRICK                                      Chinatown Shop Brick
CT_SHOP_BRICK_N                                    Chinatown Shop Brick (Night)
CT_SHOP_DOOR_01                                    Chinatown Shop Door #1
CT_SHOP_DOOR_01_N                                  Chinatown Shop Door #1 (Night)
CT_SHOP_WIN_01                                     Chinatown Shop Window #1
CT_SHOP_WIN_01_N                                   Chinatown Shop Window #1 (Night)
CT_SIGNPROP03                                      Chinatown Signprop03 3
CT_SIGNPROP03_N                                    Chinatown Signprop03 3 (Night)
CT_SIGNPROP04                                      Chinatown Signprop04 4
CT_SIGNPROP04_N                                    Chinatown Signprop04 4 (Night)
CT_SIGN_03                                         Chinatown Sign #3
CT_SIGN_03_N                                       Chinatown Sign #3 (Night)
CT_SIGN_04                                         Chinatown Sign #4
CT_SIGN_04_N                                       Chinatown Sign #4 (Night)
CT_SIGN_05                                         Chinatown Sign #5
CT_SIGN_05_N                                       Chinatown Sign #5 (Night)
CT_SIGN_07                                         Chinatown Sign #7
CT_SIGN_07_N                                       Chinatown Sign #7 (Night)
CT_SIGN_08                                         Chinatown Sign #8
CT_SIGN_08_N                                       Chinatown Sign #8 (Night)
CT_SIGN_10                                         Chinatown Sign #10
CT_SIGN_10_N                                       Chinatown Sign #10 (Night)
CT_TIN                                             Chinatown Tin
CT_TIN_N                                           Chinatown Tin (Night)
CT_TRIM                                            Chinatown Trim
CT_TRIM_N                                          Chinatown Trim (Night)
CT_WOOD                                            Chinatown Wood Building
CT_WOOD_DOOR_01                                    Chinatown Wood Building Door #1
CT_WOOD_DOOR_01_N                                  Chinatown Wood Building Door #1 (Night)
CT_WOOD_DOOR_02                                    Chinatown Wood Building Door #2
CT_WOOD_DOOR_02_N                                  Chinatown Wood Building Door #2 (Night)
CT_WOOD_N                                          Chinatown Wood Building (Night)
CT_WOOD_WIN_01                                     Chinatown Wood Building Window #1
CT_WOOD_WIN_01_N                                   Chinatown Wood Building Window #1 (Night)
CT_WOOD_WIN_02                                     Chinatown Wood Building Window #2
CT_WOOD_WIN_02_N                                   Chinatown Wood Building Window #2 (Night)
CT_Y_BRICK                                         Chinatown Yellow Brick Brick
CT_Y_BRICK_N                                       Chinatown Yellow Brick Brick (Night)
CT_Y_DOOR_01                                       Chinatown Yellow Brick Door #1
CT_Y_DOOR_01_N                                     Chinatown Yellow Brick Door #1 (Night)
CT_Y_DOOR_02                                       Chinatown Yellow Brick Door #2
CT_Y_DOOR_02_N                                     Chinatown Yellow Brick Door #2 (Night)
CT_Y_DOOR_03                                       Chinatown Yellow Brick Door #3
CT_Y_DOOR_03_N                                     Chinatown Yellow Brick Door #3 (Night)
CT_Y_WIN_01                                        Chinatown Yellow Brick Window #1
CT_Y_WIN_01_N                                      Chinatown Yellow Brick Window #1 (Night)
CT_Y_WIN_02                                        Chinatown Yellow Brick Window #2
CT_Y_WIN_02_N                                      Chinatown Yellow Brick Window #2 (Night)
CT_Y_WIN_03                                        Chinatown Yellow Brick Window #3
CT_Y_WIN_03_N                                      Chinatown Yellow Brick Window #3 (Night)
DT_BLDG01_BRICK                                    Downtown Building 1 Brick
DT_BLDG01_BRICK_N                                  Downtown Building 1 Brick (Night)
DT_BLDG01_DOOR_01                                  Downtown Building 1 Door #1
DT_BLDG01_DOOR_01_N                                Downtown Building 1 Door #1 (Night)
DT_BLDG01_DOOR_02                                  Downtown Building 1 Door #2
DT_BLDG01_DOOR_02_N                                Downtown Building 1 Door #2 (Night)
DT_BLDG01_WIN_01                                   Downtown Building 1 Window #1
DT_BLDG01_WIN_01_N                                 Downtown Building 1 Window #1 (Night)
DT_BLDG02_WIN_01                                   Downtown Building 2 Window #1
DT_BLDG02_WIN_01_N                                 Downtown Building 2 Window #1 (Night)
DT_BLDG02_WIN_02                                   Downtown Building 2 Window #2
DT_BLDG02_WIN_02_N                                 Downtown Building 2 Window #2 (Night)
DT_BLDG03_DOOR_01                                  Downtown Building 3 Door #1
DT_BLDG03_DOOR_01_N                                Downtown Building 3 Door #1 (Night)
DT_BLDG03_DOOR_02                                  Downtown Building 3 Door #2
DT_BLDG03_DOOR_02_N                                Downtown Building 3 Door #2 (Night)
DT_BLDG03_WIN_01                                   Downtown Building 3 Window #1
DT_BLDG03_WIN_01_N                                 Downtown Building 3 Window #1 (Night)
DT_BLDG03_WIN_02                                   Downtown Building 3 Window #2
DT_BLDG03_WIN_02_N                                 Downtown Building 3 Window #2 (Night)
DT_BLDG03_WIN_03                                   Downtown Building 3 Window #3
DT_BLDG03_WIN_03_N                                 Downtown Building 3 Window #3 (Night)
DT_BLDG04_DOOR_01                                  Downtown Building 4 Door #1
DT_BLDG04_DOOR_01_N                                Downtown Building 4 Door #1 (Night)
DT_BLDG04_WIN_01                                   Downtown Building 4 Window #1
DT_BLDG04_WIN_01_N                                 Downtown Building 4 Window #1 (Night)
DT_BLDG04_WIN_02                                   Downtown Building 4 Window #2
DT_BLDG04_WIN_02_N                                 Downtown Building 4 Window #2 (Night)
DT_BLDG05_WIN_02                                   Downtown Building 5 Window #2
DT_BLDG05_WIN_02_N                                 Downtown Building 5 Window #2 (Night)
DT_BLDG06_WIN_01                                   Downtown Building 6 Window #1
DT_BLDG06_WIN_01_N                                 Downtown Building 6 Window #1 (Night)
DT_BLDG07_WIN_01                                   Downtown Building 7 Window #1
DT_BLDG07_WIN_01_N                                 Downtown Building 7 Window #1 (Night)
DT_BLDG_09_BRICK                                   Downtown Building #9 Brick
DT_BLDG_09_BRICK_N                                 Downtown Building #9 Brick (Night)
DT_BLDG_09_WIN_01                                  Downtown Building #9 Window #1
DT_BLDG_09_WIN_01_N                                Downtown Building #9 Window #1 (Night)
DT_BLDG_09_WIN_02                                  Downtown Building #9 Window #2
DT_BLDG_09_WIN_02_N                                Downtown Building #9 Window #2 (Night)
DT_BNK01_BRICK                                     Downtown Bank 1 Brick
DT_BNK01_BRICK_N                                   Downtown Bank 1 Brick (Night)
DT_BNK01_DOOR_01                                   Downtown Bank 1 Door #1
DT_BNK01_DOOR_01_N                                 Downtown Bank 1 Door #1 (Night)
DT_BNK01_TRIM                                      Downtown Bank 1 Trim
DT_BNK01_TRIM_N                                    Downtown Bank 1 Trim (Night)
DT_BNK01_WIN_01                                    Downtown Bank 1 Window #1
DT_BNK01_WIN_01_N                                  Downtown Bank 1 Window #1 (Night)
DT_DOOR_02                                         Downtown Door #2
DT_DOOR_02_N                                       Downtown Door #2 (Night)
DT_HOTEL01_BRICK                                   Downtown Hotel 1 Brick
DT_HOTEL01_BRICK_N                                 Downtown Hotel 1 Brick (Night)
DT_HOTEL01_DOOR_01                                 Downtown Hotel 1 Door #1
DT_HOTEL01_DOOR_01_N                               Downtown Hotel 1 Door #1 (Night)
DT_HOTEL01_WIN_01                                  Downtown Hotel 1 Window #1
DT_HOTEL01_WIN_01_N                                Downtown Hotel 1 Window #1 (Night)
DT_HOTEL01_WIN_02                                  Downtown Hotel 1 Window #2
DT_HOTEL01_WIN_02_N                                Downtown Hotel 1 Window #2 (Night)
DT_HOTEL02_BRICK                                   Downtown Hotel 2 Brick
DT_HOTEL02_BRICK_N                                 Downtown Hotel 2 Brick (Night)
DT_HOTEL02_SIGN                                    Downtown Hotel 2 Sign
DT_HOTEL02_SIGN_N                                  Downtown Hotel 2 Sign (Night)
DT_HOTEL02_WIN_02                                  Downtown Hotel 2 Window #2
DT_HOTEL02_WIN_02_N                                Downtown Hotel 2 Window #2 (Night)
DT_ROOF                                            Downtown Roof
DT_ROOF_N                                          Downtown Roof (Night)
DT_SKY01_BRICK                                     Downtown Skyscraper 1 Brick
DT_SKY01_BRICK_N                                   Downtown Skyscraper 1 Brick (Night)
DT_SKY01_DOOR_01                                   Downtown Skyscraper 1 Door #1
DT_SKY01_DOOR_01_N                                 Downtown Skyscraper 1 Door #1 (Night)
DT_SKY01_TRIM                                      Downtown Skyscraper 1 Trim
DT_SKY01_TRIM_N                                    Downtown Skyscraper 1 Trim (Night)
DT_SKY01_WIN_01                                    Downtown Skyscraper 1 Window #1
DT_SKY01_WIN_01_N                                  Downtown Skyscraper 1 Window #1 (Night)
DT_SKY01_WIN_02                                    Downtown Skyscraper 1 Window #2
DT_SKY01_WIN_02_N                                  Downtown Skyscraper 1 Window #2 (Night)
DT_SKY02_DOOR_01                                   Downtown Skyscraper 2 Door #1
DT_SKY02_DOOR_01_N                                 Downtown Skyscraper 2 Door #1 (Night)
DT_SKY02_WIN_01                                    Downtown Skyscraper 2 Window #1
DT_SKY02_WIN_01_N                                  Downtown Skyscraper 2 Window #1 (Night)
DT_SKY02_WIN_02                                    Downtown Skyscraper 2 Window #2
DT_SKY02_WIN_02_N                                  Downtown Skyscraper 2 Window #2 (Night)
DT_SKY03_DOOR_01                                   Downtown Skyscraper 3 Door #1
DT_SKY03_DOOR_01_N                                 Downtown Skyscraper 3 Door #1 (Night)
DT_SKY04_BRICK                                     Downtown Skyscraper 4 Brick
DT_SKY04_BRICK_N                                   Downtown Skyscraper 4 Brick (Night)
DT_SKY04_DOOR_01                                   Downtown Skyscraper 4 Door #1
DT_SKY04_DOOR_01_N                                 Downtown Skyscraper 4 Door #1 (Night)
DT_SKY04_WIN_01                                    Downtown Skyscraper 4 Window #1
DT_SKY04_WIN_01_N                                  Downtown Skyscraper 4 Window #1 (Night)
DT_SKY05_BRICK                                     Downtown Skyscraper 5 Brick
DT_SKY05_BRICK_N                                   Downtown Skyscraper 5 Brick (Night)
DT_SKY05_DOOR_01                                   Downtown Skyscraper 5 Door #1
DT_SKY05_DOOR_01_N                                 Downtown Skyscraper 5 Door #1 (Night)
DT_SKY05_WIN_01                                    Downtown Skyscraper 5 Window #1
DT_SKY05_WIN_01_N                                  Downtown Skyscraper 5 Window #1 (Night)
DT_UC_CRAN                                         Downtown Under Construction Crane
DT_UC_DOOR                                         Downtown Under Construction Door
DT_UC_STRCT                                        Downtown Under Construction Structure
EXPLOSION                                          Explosion
FREEWAY2                                           Freeway 2
FREEWAY2_N                                         Freeway 2 (Night)
FREEWAY_EXITS                                      Freeway Exits
FREEWAY_GRID                                       Freeway Grid
FREEWAY_SIGN                                       Freeway Sign
FWYLOD3                                            Freeway LOD 3
FXLTCONE                                           FX Light Cone
FXLTGLOW                                           FX Light Glow
FXLTGLOWAMBER                                      FX Light Glow (Amber)
FXLTGLOWRED                                        FX Light Glow (Red)
FXPARTICLE02                                       Fxparticle02
FXPT1                                              Particle Effect 1
FXPT10                                             Particle Effect 10
FXPT11                                             Particle Effect 11
FXPT2                                              Particle Effect 2
FXPT3                                              Particle Effect 3
FXPT4                                              Particle Effect 4
FXPT5                                              Particle Effect 5
FXPT5_FALL                                         Particle Effect 5 Fall
FXPT5_WIN                                          Particle Effect 5 Winter
FXPT6                                              Particle Effect 6
FXPT7                                              Particle Effect 7
FXPT8                                              Particle Effect 8
FXPT9                                              Particle Effect 9
G_1                                                Generic Marker #1
G_2                                                Generic Marker #2
G_3                                                Generic Marker #3
G_4                                                Generic Marker #4
G_5                                                Generic Marker #5
G_6                                                Generic Marker #6
G_7                                                Generic Marker #7
G_8                                                Generic Marker #8
G_D                                                Generic Marker Day
G_N                                                Generic Marker Night
G_P                                                Generic Marker Pink
G_R                                                Generic Marker Red
H_APT2_BRICK                                       Hills Apartment 2 Brick
H_APT2_BRICK_N                                     Hills Apartment 2 Brick (Night)
H_APT2_DOOR_01                                     Hills Apartment 2 Door #1
H_APT2_DOOR_01_N                                   Hills Apartment 2 Door #1 (Night)
H_APT2_WIN_01                                      Hills Apartment 2 Window #1
H_APT2_WIN_01_N                                    Hills Apartment 2 Window #1 (Night)
H_APT2_WIN_02                                      Hills Apartment 2 Window #2
H_APT2_WIN_02_N                                    Hills Apartment 2 Window #2 (Night)
H_APT2_WIN_03                                      Hills Apartment 2 Window #3
H_APT2_WIN_03_N                                    Hills Apartment 2 Window #3 (Night)
H_APT_BRICK                                        Hills Apartment Brick
H_APT_BRICK_N                                      Hills Apartment Brick (Night)
H_APT_DOOR_01                                      Hills Apartment Door #1
H_APT_DOOR_01_N                                    Hills Apartment Door #1 (Night)
H_APT_SIGN                                         Hills Apartment Sign
H_APT_SIGN_N                                       Hills Apartment Sign (Night)
H_APT_WIN_01                                       Hills Apartment Window #1
H_APT_WIN_01_N                                     Hills Apartment Window #1 (Night)
H_APT_WIN_02                                       Hills Apartment Window #2
H_APT_WIN_02_N                                     Hills Apartment Window #2 (Night)
H_APT_WIN_03                                       Hills Apartment Window #3
H_APT_WIN_03_N                                     Hills Apartment Window #3 (Night)
H_CONDO_BRICK                                      Hills Condo Brick
H_CONDO_BRICK_N                                    Hills Condo Brick (Night)
H_CONDO_DOOR_01                                    Hills Condo Door #1
H_CONDO_DOOR_01_N                                  Hills Condo Door #1 (Night)
H_CONDO_SIGN                                       Hills Condo Sign
H_CONDO_SIGN_N                                     Hills Condo Sign (Night)
H_CONDO_WIN_01                                     Hills Condo Window #1
H_CONDO_WIN_01_N                                   Hills Condo Window #1 (Night)
H_CONDO_WIN_02                                     Hills Condo Window #2
H_CONDO_WIN_02_N                                   Hills Condo Window #2 (Night)
H_CONDO_WIN_03                                     Hills Condo Window #3
H_CONDO_WIN_03_N                                   Hills Condo Window #3 (Night)
H_DELI_BRICK                                       Hills Deli Brick
H_DELI_BRICK_N                                     Hills Deli Brick (Night)
