format: (x, y, z)
DP01WINC_BREAK15 1.75 1.5 0.1
DP01WIND 7 3 0.1
DP01WIND_BREAK01 1.75 1.5 0.1
DP01WIND_BREAK02 1.75 2.25 0.1
DP01WIND_BREAK03 1.75 2.25 0.1
DP01WIND_BREAK04 3.79 0.75 0.1
DP01WIND_BREAK05 2.04 1.125 0.1
DP01WIND_BREAK06 2.062 1.5 0.1
DP01WIND_BREAK07 2.945 0.75 0.1
DP01WIND_BREAK08 5.562 0.75 0.1
DP01WIND_BREAK09 7 0.375 0.1
DP01WIND_BREAK10 5.562 1.5 0.1
DP01WIND_BREAK11 3.5 1.5 0.1
DP01WIND_BREAK12 3.5 1.5 0.1
DP01WIND_BREAK13 3.5 1.5 0.1
DP01WIND_BREAK14 1.75 1.9 0.1
DP01WIND_BREAK15 1.75 1.5 0.1
DP01WINE 3.008 3 3
DP01WINE_BREAK01 0.1 3 1.5
DP01WINE_BREAK02 0.1 1 3
DP01WINE_BREAK03 0.1 2 1.5
DP01WINE_BREAK04 0.1 1.5 1.5
DP01WINE_BREAK05 0.1 1.25 1.5
DP01WINE_BREAK06 0.1 1.5 1.5
DP01WINE_BREAK07 0.1 0.75 3
DP01WINE_BREAK08 1.504 1.5 0.1
DP01WINE_BREAK09 3.008 0.75 0.1
DP01WINE_BREAK10 1.504 3 0.1
DP01WINE_BREAK11 3.008 2.25 0.1
DP01WINE_BREAK12 1.504 1.5 0.1
DP01WINE_BREAK13 3.008 0.75 0.1
DP01WINF 2.964 3 0.1
DP01WINF_BREAK01 1.482 3 0.1
DP01WINF_BREAK02 2.964 1.5 0.1
DP01WINF_BREAK03 1.482 3 0.1
DP01WINF_BREAK04 2.964 1.5 0.1
DP01WING 0.1 3 2.978
DP01WING_BREAK01 0.1 1.5 2.978
DP01WING_BREAK02 0.1 3 1.489
DP01WING_BREAK03 0.1 1.5 2.978
DP01WING_BREAK04 0.1 3 1.489
DP02WINA 6.322 6.775 11.42
DP02WINB 5.182 7 9.358
DP02WINC 6.872 7.001 5.933
DP02WIND 6.527 6.136 5.635
DP02WINE 7.559 5.316 6.526
DP03WINA 5.339 3.903 0.1
DP03WINA_BREAK01 1.335 3.5 0.1
DP03WINA_BREAK02 2.669 2.225 0.1
DP03WINA_BREAK03 2.669 1.476 0.1
DP03WINA_BREAK04 2.669 1.35 0.1
DP03WINA_BREAK05 2.694 1.35 0.1
DP03WINA_BREAK06 2.669 1.176 0.1
DP03WINA_BREAK07 4.004 1.678 0.1
DP03WINA_BREAK08 4.004 1.678 0.1
DP03WINA_BREAK09 2.67 1.35 0.1
DP03WINA_BREAK10 2.67 2.526 0.1
DP03WINA_BREAK11 1.335 3.903 0.1
DP03WINB 6.011 4.356 0.02633
DP03WINB_BREAK01 2.007 3.903 0.1
DP03WINB_BREAK02 3.342 2.225 0.1
DP03WINB_BREAK03 3.342 1.93 0.1
DP03WINB_BREAK04 3.342 1.35 0.1
DP03WINB_BREAK05 2.694 1.35 0.1
DP03WINB_BREAK06 2.669 1.176 0.1
DP03WINB_BREAK07 4.004 2.131 0.1
DP03WINB_BREAK08 4.004 2.131 0.1
DP03WINB_BREAK09 2.67 1.35 0.1
DP03WINB_BREAK10 2.67 2.526 0.1
DP03WINB_BREAK11 1.335 4.356 0.1
DP03WINC 1.096 4.62 7.244
DP03WINC_BREAK01 0.3447 2.31 2.218
DP03WINC_BREAK02 0.3447 2.51 2.218
DP03WINC_BREAK03 0.8294 2.71 5.285
DP03WINC_BREAK04 0.8294 2.51 5.285
DP03WINC_BREAK05 0.8294 2.71 5.285
DP03WINC_BREAK06 0.8294 1.91 5.285
DP03WINC_BREAK07 0.5482 2.71 3.622
DP03WINC_BREAK08 0.267 2.709 1.959
DP03WINC_BREAK09 0.267 2.31 1.959
DP03WINC_BREAK10 0.5482 1.91 3.622
DP03WIND 1.18 4.62 7.793
DP03WIND_BREAK01 0.2949 2.31 1.948
DP03WIND_BREAK02 0.2949 3.464 1.948
DP03WIND_BREAK03 0.2949 3.464 1.948
DP03WIND_BREAK04 0.7372 1.155 4.871
DP03WIND_BREAK05 0.4423 1.732 2.923
DP03WIND_BREAK06 0.2949 2.31 1.948
DP03WIND_BREAK07 1.18 1.155 7.793
DP03WIND_BREAK08 1.18 0.5776 7.793
DP03WIND_BREAK09 0.8847 2.31 5.845
DP03WIND_BREAK10 0.5898 2.309 3.897
DP03WIND_BREAK11 0.5898 2.31 3.897
DP03WIND_BREAK12 0.5898 2.31 3.897
DP03WINE 3.601 4.62 3.904
DP03WINE_BREAK01 1.8 4.356 0.1
DP03WINE_BREAK02 3.601 2.178 0.1
DP03WINE_BREAK03 3.601 2.442 0.1
DP03WINE_BREAK04 1.8 4.619 0.1
DP03WINE_BREAK05 0.2948 4.619 1.948
DP03WINE_BREAK06 0.5897 2.31 3.897
DP03WINE_BREAK07 0.2948 4.619 1.948
DP03WINE_BREAK08 0.5897 2.31 3.897
DP04WINA 2.194 4.225 4.215
DP04WINA_BREAK01 0.725 1.725 1.392
DP04WINA_BREAK02 2.194 0.8627 4.215
DP04WINA_BREAK03 1.47 1.973 2.822
DP04WINA_BREAK04 1.261 2.304 2.423
DP04WINA_BREAK05 1.47 2.304 2.822
DP04WINA_BREAK06 2.194 1.058 4.215
DP04WINA_BREAK07 1.261 2.5 2.423
DP04WINA_BREAK08 0.933 2.25 1.792
DP04WINB 2.289 4.223 4.395
DP04WINB_BREAK01 2.289 1.972 4.395
DP04WINB_BREAK02 1.144 1.973 2.198
DP04WINB_BREAK03 1.144 1.972 2.198
DP04WINB_BREAK04 1.144 2.251 2.198
DP04WINB_BREAK05 2.289 2.252 4.395
DP04WINB_BREAK06 2.289 2.252 4.395
DP04WINC 3.468 4.221 3.841
DP04WINC_BREAK01 1.581 2.111 3.036
DP04WINC_BREAK02 0.7904 4.221 1.518
DP04WINC_BREAK03 0.7904 4.22 1.518
DP04WINC_BREAK04 1.581 2.111 3.036
DP04WINC_BREAK05 3.468 2.11 0.8049
DP04WINC_BREAK06 1.734 4.22 0.4025
DP04WINC_BREAK07 1.734 4.057 0.4025
DP04WINC_BREAK08 3.468 2.11 0.8049
DP04WIND 6.128 4.057 1.422
DP04WIND_BREAK01 6.128 1.529 1.422
DP04WIND_BREAK02 3.064 4.057 0.7111
DP04WIND_BREAK03 3.065 2.529 0.7111
DP04WIND_BREAK04 3.065 3.769 0.7111
DP04WIND_BREAK05 3.064 2.529 0.7111
DP04WINE 5.733 3.769 1.33
DP04WINE_BREAK01 2.866 2.385 0.6652
DP04WINE_BREAK02 5.733 1.519 1.33
DP04WINE_BREAK03 2.866 1.385 0.6652
DP04WINE_BREAK04 5.733 1.519 1.33
DP04WINE_BREAK05 2.866 2.385 0.6652
DP04WINE_BREAK06 5.733 2.519 1.33
DP04WINE_BREAK07 5.733 2.519 1.33
DP24WALLA 5.419 3.789 0.3774
DP24WALLA_BREAKDP24WALLA01 2.71 2.199 0.3771
DP24WALLA_BREAKDP24WALLA02 3.81 2.173 0.377
DP24WALLA_BREAKDP24WALLA03 2.71 3.005 0.377
DP24WALLA_BREAKDP24WALLA04 3.51 2.199 0.3774
DP24WALLB 5.009 3.789 0.3777
DP24WALLB_BREAKDP24WALLB01 2.299 2.199 0.3774
DP24WALLB_BREAKDP24WALLB02 3.51 2.199 0.3774
DP24WALLB_BREAKDP24WALLB03 2.71 3.005 0.377
DP24WALLB_BREAKDP24WALLB04 3.399 2.173 0.3774
DP31WALLA 8.945 4.346 0.1833
DP31WALLA_BREAK01 4.486 2.173 0.183
DP31WALLA_BREAK02 5.327 2.933 0.1831
DP31WALLA_BREAK03 4.491 2.174 0.1831
DP31WALLA_BREAK04 5.327 2.933 0.1831
DP31WALLB 7.973 4.346 0.1832
DP31WALLB_BREAK01 4 2.173 0.1832
DP31WALLB_BREAK02 4.841 2.933 0.1832
DP31WALLB_BREAK03 4.004 2.174 0.1832
DP31WALLB_BREAK04 4.841 2.933 0.1832
DP32WALL 4.743 4.798 0.3768
DP32WALL_BREAK01 2.71 3.208 0.3771
DP32WALL_BREAK02 3.81 2.173 0.377
DP32WALL_BREAK03 2.033 3.005 0.3771
DP32WALL_BREAK04 2.833 3.208 0.3771
DP42WALL 5 2.871 0.3767
DP42WALL_BREAK01 3.51 1.85 0.3774
DP42WALL_BREAK02 2.291 1.851 0.3774
DP42WALL_BREAK03 2.731 1.604 0.377
DP42WALL_BREAK04 2.71 1.4 0.377
DP60CRANE 51.34 4.447 3.279
DP60WALLA 7.201 2.362 7.253
DP60WALLA_BREAK01 1.864 1.387 2.028
DP60WALLA_BREAK02 1.864 1.115 2.028
DP60WALLA_BREAK03 2.568 1.338 2.888
DP60WALLA_BREAK04 2.137 1.209 2.503
DP60WALLA_BREAK05 2.645 1.401 2.965
DP60WALLA_BREAK06 2.292 1.296 2.562
DP60WALLA_BREAK07 2.075 1.303 2.24
DP60WALLA_BREAK08 2.075 0.9847 2.24
DP60WALLB 6.974 2.362 7.609
DP60WALLB_BREAK01 1.835 1.387 2.147
DP60WALLB_BREAK02 1.835 1.115 2.147
DP60WALLB_BREAK03 2.479 1.338 3.009
DP60WALLB_BREAK04 2.02 1.209 2.51
DP60WALLB_BREAK05 2.613 1.401 3.157
DP60WALLB_BREAK06 2.285 1.296 2.79
DP60WALLB_BREAK07 1.912 1.303 2.24
DP60WALLB_BREAK08 1.912 0.9847 2.24
DP60WALLC 4.629 3 4.702
DP60WALLC_BREAK01 1.985 1.167 2.012
DP60WALLC_BREAK02 1.764 2.05 1.786
DP60WALLC_BREAK03 1.584 2.05 1.604
DP60WALLC_BREAK04 1.584 1.5 1.604
DP60WALLC_BREAK05 2.172 1.5 2.202
DP60WALLC_BREAK06 2.878 1 2.92
DP60WALLC_BREAK07 0.9397 3 0.948
DP60WALLC_BREAK08 1.641 2 1.661
DP60WALLC_BREAK09 1.646 1.5 1.667
DP60WALLC_BREAK10 1.471 2 1.488
dpmalldoor 9.86 3.5 0.005779
dpmalldoora 8.841 3.5 0.1635
dpmalldoora_BREAK01 1.11 3.5 0.1635
dpmalldoora_BREAK02 4.776 1.033 0.1635
dpmalldoora_BREAK03 4.776 2.067 0.1635
dpmalldoora_BREAK04 3.665 1.167 0.1635
dpmalldoora_BREAK05 3.976 1.433 0.1635
dpmalldoora_BREAK06 4.421 1.3 0.1635
dpmalldoora_BREAK07 4.421 1.033 0.1635
dpmalldoora_BREAK08 4.065 1.067 0.1635
dpmalldoora_BREAK09 2.766 1.3 0.1635
dpmalldoora_BREAK10 2.866 1.3 0.1635
dpmalldoora_BREAK11 2.866 1.3 0.1635
dpmalldoora_BREAK12 4.421 1.167 0.1635
dpmalldoorb 8.842 3.5 0.1635
dpmalldoorb_BREAK01 2.722 1.333 0.1641
dpmalldoorb_BREAK02 3.422 1.267 0.1641
dpmalldoorb_BREAK03 3.422 2.167 0.1641
dpmalldoorb_BREAK04 4.422 1.333 0.1641
dpmalldoorb_BREAK05 3 1.567 0.1641
dpmalldoorb_BREAK06 3 2.167 0.1641
dpmalldoorb_BREAK07 4.422 2.167 0.1641
dpmalldoorb_BREAK08 3.598 1.567 0.1641
dpmalldoorb_BREAK09 3.598 2.167 0.1641
dpmalldoorb_BREAK10 4.42 2.167 0.1641
dpmalldoorb_BREAK11 4.419 1.333 0.1641
dpmalldoorb_BREAK12 2.721 1.333 0.1641
dpmalldoorb_BREAK13 3.422 1.267 0.1641
dpmalldoorb_BREAK14 3.422 2.167 0.1641
dpmalldoorc 8.841 3.5 0.1635
dpmalldoorc_BREAK01 1.11 3.5 0.1635
dpmalldoorc_BREAK02 4.776 1.033 0.1635
dpmalldoorc_BREAK03 4.776 2.067 0.1635
dpmalldoorc_BREAK04 3.665 1.167 0.1635
dpmalldoorc_BREAK05 3.976 1.433 0.1635
dpmalldoorc_BREAK06 4.421 1.3 0.1635
dpmalldoorc_BREAK07 4.421 1.033 0.1635
dpmalldoorc_BREAK08 4.065 1.067 0.1635
dpmalldoorc_BREAK09 2.766 1.3 0.1635
dpmalldoorc_BREAK10 2.865 1.3 0.1635
dpmalldoorc_BREAK11 2.865 1.3 0.1635
dpmalldoorc_BREAK12 4.421 1.167 0.1635
dpmalldoor_BREAK01 1.105 1.75 0.001445
dpmalldoor_BREAK02 1.105 1.944 0.001445
dpmalldoor_BREAK03 3.362 1.772 0.002889
dpmalldoor_BREAK04 3.362 1.944 0.002889
dpmalldoor_BREAK05 3.697 1.728 0.002889
dpmalldoor_BREAK06 4.455 0.4375 0.002167
dpmalldoor_BREAK07 3.975 1.772 0.002889
dpmalldoor_BREAK08 4.93 0.875 0.002889
dpmalldoor_BREAK09 4.009 0.875 0.001445
dpmalldoor_BREAK10 4.622 0.8968 0.001445
dpmalldoor_BREAK11 4.622 1.75 0.001445
dpmalldoor_BREAK12 4.033 1.291 0.002167
dpmalldoor_BREAK13 3.697 0.875 0.002889
dpmalldoor_BREAK14 2.939 0.875 0.002889
dpmalldoor_BREAK15 4.93 0.875 0.00289
dpmalldoor_BREAK16 2.465 2.625 0.001445
dpmalldoor_BREAK17 2.465 2.625 0.001445
dpmalldoor_BREAK18 2.465 1.75 0.001444
dpmalldoor_BREAK19 3.561 0.875 0.002889
dp_left 11 10.25 1
dp_left6 16 10.25 1
dp_trainsupport 23 13 1
dp_trainsupport20 22 13 1
ipbreakdoor_BREAKDOOR01 3.975 5.975 0.1
ipbreakdoor_BREAKDOOR02 3.975 5.975 0.1
ipsign_rotate 1.579 6.969 3.737
ipsign_rotate_BREAKSIGN01 0.5263 5.916 3.737
ipsign_rotate_BREAKSIGN02 1.579 1.053 1.579
lightts 4.032 6.152 0.4
opstlite 0.3829 2.885 0.3829
opstlite_blue 4.963 12.71 0.7594
opstlite_BREAK_OPSTLITE01 0.3089 2.593 0.3089
opstlite_BREAK_OPSTLITE02 0.3829 1.042 0.3829
opstlite_green 4.963 12.71 0.7594
opstlite_red 4.963 12.71 0.7594
optbooth 0.851 2 0.851
tpbarrelblue 0.8053 1.095 0.6974
tpbarrlm 0.5031 0.72 0.5031
tpbbsw01 1.872 1.744 1.065
tpbench 0.7511 1.083 2.49
tpbench_BREAKBENCH01 0.7509 1.083 1.323
tpbench_BREAKBENCH02 0.751 0.5807 1.676
tpbench_BREAKBENCH03 0.09972 0.5023 0.132
tpbench_mall 2.49 0.602 0.6799
tpbench_mall_BREAKBENCH01 1.283 0.602 0.6799
tpbench_mall_BREAKBENCH02 1.676 0.1 0.6798
tpbench_mall_BREAKBENCH03 0.132 0.5023 0.4636
tpboxalley 4.354 2 1.465
tpboxalley_BREAK_PART01 1.158 0.8996 1.15
tpboxalley_BREAK_PART02 1.262 0.8996 1.262
tpboxalley_BREAK_PART03 0.7447 0.6868 0.7537
tpboxalley_BREAK_PART04 1.2 0.8996 0.8864
tpboxalley_BREAK_PART05 0.9593 0.8996 0.9469
tpboxalley_BREAK_PART06 1.616 2 1.114
tpbridgebuild 6 14.15 6
tpcallbox 0.48 2.526 0.4213
tpcallbox_BREAK01 0.48 0.3394 0.3394
tpcallbox_BREAK02 0.1 2.3 0.1
tpcallbox_BREAK03 0.3 0.3 0.2
tpcboxbreak 0.9634 1.211 1.869
tpcboxbreak_BREAK_PART01 0.8779 0.6869 0.8837
tpcboxbreak_BREAK_PART02 0.9634 0.6869 0.9639
tpcboxbreak_BREAK_PART03 0.5754 0.5243 0.5685
tpcboxm 0.8039 0.8039 0.792
tpcone 0.5 0.75 0.5
tpcrossbase 0.6106 1.522 1.221
tpcrossgate04 9.927 0.3083 0.1
tpcrossgate04_BREAK01 2.463 0.3083 0.1
tpcrossgate04_BREAK02 2.5 0.3083 0.1
tpcrossgate04_BREAK03 2.5 0.3083 0.1
tpcrossgate04_BREAK04 2.464 0.3083 0.1
tpcrossgate04_BREAKPOST01 3.309 0.3083 0.06944
tpcrossgate04_BREAKPOST02 3.309 0.3083 0.06944
tpcrossgate04_BREAKPOST03 3.309 0.3083 0.06944
tpcrossgate06 13.23 0.3083 0.1
tpcrossgate06_BREAK01 2.206 0.3083 0.1
tpcrossgate06_BREAK02 2.206 0.3083 0.1
tpcrossgate06_BREAK03 2.206 0.3083 0.1
tpcrossgate06_BREAK04 2.206 0.3083 0.1
tpcrossgate06_BREAK05 2.206 0.3083 0.1
tpcrossgate06_BREAK06 2.206 0.3083 0.1
tpcrossgate06_BREAKPOST01 3.309 0.3083 0.06944
tpcrossgate06_BREAKPOST02 3.309 0.3083 0.06944
tpcrossgate06_BREAKPOST03 3.309 0.3083 0.06944
tpcrossgate06_BREAKPOST04 3.309 0.3083 0.06944
tpcrshcan 1.338 1.387 1.269
tpcrshcan_BREAKPART01 1.338 1.219 1.158
tpcrshcan_BREAKPART02 0.3526 1.118 0.1351
tpcrshcan_BREAKPART03 0.3526 1.118 0.1351
tpcrshcan_BREAKPART04 1.338 0.168 1.158
tpdmpstr 1.2 1.519 2.1
tpdmpstr_BREAKTPDMPSTR01 1.2 0.3192 2.1
tpdmpstr_BREAKTPDMPSTR02 1.2 1.427 2.1
tpdrawbridge04 30 5.989 32.5
tpdrawbridge04_BREAKFENCE01 0.2 1.5 8.125
tpdrawbridge04_BREAKFENCE02 0.2 1.5 8.125
tpdrawbridge04_BREAKFENCE03 0.2 1.5 8.125
tpdrawbridge04_BREAKFENCE04 0.2 1.5 8.125
tpdrawbridge04_BREAKFENCE05 0.2 1.5 8.125
tpdrawbridge04_BREAKFENCE06 0.2 1.5 8.125
tpdrawbridge04_BREAKFENCE07 0.2 1.5 8.125
tpdrawbridge04_BREAKFENCE08 0.2 1.5 8.125
tpdrawbridge06 40 5.989 32.5
tpdrawbridge06_BREAKFENCE01 0.2 1.5 8.125
tpdrawbridge06_BREAKFENCE02 0.2 1.5 8.125
tpdrawbridge06_BREAKFENCE03 0.2 1.5 8.125
tpdrawbridge06_BREAKFENCE04 0.2 1.5 8.125
tpdrawbridge06_BREAKFENCE05 0.2 1.5 8.125
tpdrawbridge06_BREAKFENCE06 0.2 1.5 8.125
tpdrawbridge06_BREAKFENCE07 0.2 1.5 8.125
tpdrawbridge06_BREAKFENCE08 0.2 1.5 8.125
tpdrawbridge06 40 5.989 32.5
tpdrawbridge06_BREAKFENCE01 0.2 1.5 8.125
tpdrawbridge06_BREAKFENCE02 0.2 1.5 8.125
tpdrawbridge06_BREAKFENCE03 0.2 1.5 8.125
tpdrawbridge06_BREAKFENCE04 0.2 1.5 8.125
tpdrawbridge06_BREAKFENCE05 0.2 1.5 8.125
tpdrawbridge06_BREAKFENCE06 0.2 1.5 8.125
tpdrawbridge06_BREAKFENCE07 0.2 1.5 8.125
tpdrawbridge06_BREAKFENCE08 0.2 1.5 8.125
tpfirehy 0.4689 0.745 0.4578
tpfw_sign_ct 11.01 12.99 0.9346
tpfw_sign_dt 11.01 12.99 0.9346
tpfw_sign_ls 11.01 12.99 0.9346
tpfw_sign_ot 11.01 12.99 0.9346
tpgate_BREAKBASE 1 1 1
tpgate_BREAKPOST 0.2 3 0.2
tpleft 0.6962 2.945 0.1133
tpleft_BREAKPART01 0.1 0.958 0.1
tpleft_BREAKPART02 0.6962 2.187 0.1133
tpltst 5.876 12.64 0.7594
tpltst_BREAK_PROPLIGHT01 0.228 12.64 0.2633
tpltst_BREAK_PROPLIGHT02 5.67 0.9257 0.7594
tplttrafc 6.831 7.785 0.5
tplttrafcdual 9.831 7.785 0.5
tplttrafcdual_BREAK01 0.6759 7.371 0.5
tplttrafcdual_BREAK02 9.626 1.766 0.405
tplttrafc_BREAK01 0.6759 7.371 0.5
tplttrafc_BREAK02 6.626 1.766 0.405
tplttrafc_BREAK_PROPOLE01 0.6759 7.371 0.5
tplttrafc_BREAK_PROPOLE02 6.626 1.766 0.405
tpmail 0.66 1.366 0.66
tpmbevrg 1 2 0.75
tpmboxs 0.5445 0.5389 0.5364
tpmnews 0.65 1.143 0.48
tpmnews_BREAK_MAIL01 0.1524 0.6731 0.1524
tpmnews_BREAK_MAIL02 0.5588 0.4826 0.4572
tpnews01 0.5885 1.106 0.5598
tpnews02 0.5885 1.106 0.5598
tpnews03 0.5885 1.106 0.5598
tpnews04 0.5885 1.106 0.5598
tpphone 0.643 2 0.5104
tpplanter_mall 0.8957 1.402 0.8957
tppmtr 0.2032 1.066 0.039
tpsailboat 6 6 0.1
tpsawhrslt 0.764 1.453 0.7878
tpsawhrslt_BREAKSAWHRS01 0.764 1.146 0.3939
tpsawhrslt_BREAKSAWHRS02 0.764 1.146 0.3939
tpsawhrslt_BREAKSAWHRS03 0.2691 0.433 0.2
tpsbus 0.4584 2.745 0.1025
tpsone 0.8957 2.945 0.1133
tpsoneleft 0.8957 2.945 0.1133
tpsoneleft_BREAKPART01 0.1 0.958 0.1
tpsoneleft_BREAKPART02 0.8957 2.187 0.1133
tpsone_BREAKPART01 0.1 0.958 0.1
tpsone_BREAKPART02 0.8957 2.187 0.1133
tpsspd -1.561e-038 7.182e-039 7.527e-039
tpsspd_BREAK_PROPSIGN -5.353e-038 -7.825e-039 1.682e-044
tpsspd_BREAK_PROPSIGNBASE 0.09122 0.728 0.07722
tpsspd_BREAK_PROPSIGNTOP 0.6637 2.828 0.1008
tpsst 0.6382 2.858 0.6382
tpsstop 0.7827 3.228 0.09836
tpsstop_BREAKSIGNBASE 0.09122 1.528 0.07722
tpsstop_BREAKSIGNTOP 0.7827 1.9 0.09836
tpsupport 3.618 22 3.804
tpswrng 0.7827 3.228 0.1
tpswrng_BREAKSIGN01 0.7827 2.4 0.1
tpswrng_BREAKSIGN02 0.1 1.028 0.1
tpsxwlk 0.5 2.296 0.304
tptcanc 0.7229 0.9682 0.7627
tptcanm 0.7254 0.9713 0.7627
tptcanp 0.732 1.068 0.6339
tptpole 3.442 12.31 0.4507
tptpole_BREAKPART01 3.442 11.31 0.4507
tptpole_BREAKPART02 0.4507 1.4 0.4507
tptrashalley01 3.562 1.095 1.348
tptrashalley02 4.15 1.995 0.9535
tptrashalley02_BREAK_PART01 0.8996 0.8996 0.8864
tptrashalley02_BREAK_PART02 0.8864 0.8996 0.8996
tptrashalley02_BREAK_PART03 0.7447 0.6868 0.7537
tptrashalley02_BREAK_PART04 1.2 0.8996 0.8864
tptrashalley02_BREAK_PART05 0.9593 0.8996 0.9469
tptrashalley02_BREAK_PART06 0.8996 0.8996 0.8864
tptrashalley02_BREAK_PART07 0.6974 1.095 0.8053
tptree_sparce 7 9.88 3e-006
tpuboxs 0.9349 1.267 0.6808
tpwrongway 1.778 2.587 0.1072
tpwrongway_BREAKSIGN01 1.778 1.778 0.1
tpwrongway_BREAKSIGN02 0.1369 1.951 0.1
tpwrongway_BREAKSIGN03 0.1369 1.951 0.1
tp_barricade 4 2 0.5
tp_trailer 16.34 4.693 4
tp_tree10m 7 9.88 3e-006
tp_tree15m 12 15 3e-006
vaboeing_small_WHL0 0.1666 0.2131 0.2238
vpbug_WHL0 0.2477 0.6694 0.6694
vpbullet_WHL0 0.2705 0.7294 0.7294
vpbus_WHL0 0.4588 1.184 1.184
vpcaddie_WHL0 0.2951 0.6866 0.6866
vpcop_WHL0 0.3012 0.7009 0.7009
vpford_WHL0 0.2238 0.8015 0.8015
vpmustang99_WHL0 0.3012 0.7009 0.7009
vppanozgt_WHL0 0.2973 0.6815 0.6815
vppanoz_FNDR0 0.3202 0.6454 0.7237
vppanoz_WHL0 0.2957 0.6815 0.6815
vpsemi_WHL0 0.4086 1.055 1.055
